Movie Titles,Release Year,IMDb Rating,Directors,Genre
Jai Bhim,2021,8.8,T.J. Gnanavel,"Crime, Drama, Mystery"
777 Charlie,2022,8.8,Kiranraj K,"Adventure, Comedy, Drama"
Spider-Man: Across the Spider-Verse,2023,8.7,Joaquim Dos Santos,"Animation, Action, Adventure"
Interstellar,2014,8.7,Christopher Nolan,"Adventure, Drama, Sci-Fi"
Rocketry: The Nambi Effect,2022,8.7,Madhavan,"Biography, Drama"
Soorarai Pottru,2020,8.7,Sudha Kongara,"Action, Drama"
Oppenheimer,2023,8.6,Christopher Nolan,"Biography, Drama, History"
Sita Ramam,2022,8.6,Hanu Raghavapudi,"Action, Drama, Mystery"
Parasite,2019,8.5,Bong Joon Ho,"Drama, Thriller"
Whiplash,2014,8.5,Damien Chazelle,"Drama, Music"
96,2018,8.5,C. Prem Kumar,"Drama, Romance"
Joker,2019,8.4,Todd Phillips,"Crime, Drama, Thriller"
Avengers: Endgame,2019,8.4,Anthony Russo,"Action, Adventure, Drama"
Spider-Man: Into the Spider-Verse,2018,8.4,Bob Persichetti,"Animation, Action, Adventure"
Avengers: Infinity War,2018,8.4,Anthony Russo,"Action, Adventure, Sci-Fi"
Coco,2017,8.4,Lee Unkrich,"Animation, Adventure, Drama"
Your Name.,2016,8.4,Makoto Shinkai,"Animation, Drama, Fantasy"
Capernaum,2018,8.4,Nadine Labaki,Drama
Kaithi,2019,8.4,Lokesh Kanagaraj,"Action, Adventure, Crime"
Sardar Udham,2021,8.4,Shoojit Sircar,"Biography, Crime, Drama"
Asuran,2019,8.4,Vetrimaaran,"Action, Drama"
Drishyam 2,2021,8.4,Jeethu Joseph,"Crime, Drama, Thriller"
Top Gun: Maverick,2022,8.3,Joseph Kosinski,"Action, Drama"
